sehir_adi,analiz_baslangic_tarih,analiz_baslangic_saat,analiz_bitis_tarih,analiz_bitis_saat,sonuc
Sinop,22-01-2024,00:00,28-01-2024,23:59,0.12
Sivas,22-01-2024,00:00,28-01-2024,23:59,0.11
Tekirdağ,22-01-2024,00:00,28-01-2024,23:59,0.12
Tokat,22-01-2024,00:00,28-01-2024,23:59,0.13
Trabzon,22-01-2024,00:00,28-01-2024,23:59,0.19
Tunceli,22-01-2024,00:00,28-01-2024,23:59,0.16
Şanlıurfa,22-01-2024,00:00,28-01-2024,23:59,0.16
Uşak,22-01-2024,00:00,28-01-2024,23:59,0.16
Van,22-01-2024,00:00,28-01-2024,23:59,0.2
Yozgat,22-01-2024,00:00,28-01-2024,23:59,0.07
Zonguldak,22-01-2024,00:00,28-01-2024,23:59,0.2
Aksaray,22-01-2024,00:00,28-01-2024,23:59,0.12
Bayburt,22-01-2024,00:00,28-01-2024,23:59,0.1
Karaman,22-01-2024,00:00,28-01-2024,23:59,0.12
Kırıkkale,22-01-2024,00:00,28-01-2024,23:59,0.2
Batman,22-01-2024,00:00,28-01-2024,23:59,0.19
Şırnak,22-01-2024,00:00,28-01-2024,23:59,0.16
Bartın,22-01-2024,00:00,28-01-2024,23:59,0.15
Ardahan,22-01-2024,00:00,28-01-2024,23:59,0.14
Iğdır,22-01-2024,00:00,28-01-2024,23:59,0.2
Yalova,22-01-2024,00:00,28-01-2024,23:59,0.25
Karabük,22-01-2024,00:00,28-01-2024,23:59,0.12
Kilis,22-01-2024,00:00,28-01-2024,23:59,0.16
Osmaniye,22-01-2024,00:00,28-01-2024,23:59,0.21
Düzce,22-01-2024,00:00,28-01-2024,23:59,0.17
Adana,29-01-2024,00:00,04-02-2024,23:59,0.22
Adıyaman,29-01-2024,00:00,04-02-2024,23:59,0.15
Afyonkarahisar,29-01-2024,00:00,04-02-2024,23:59,0.15
Ağrı,29-01-2024,00:00,04-02-2024,23:59,0.14
Amasya,29-01-2024,00:00,04-02-2024,23:59,0.12
Ankara,29-01-2024,00:00,04-02-2024,23:59,0.22
Antalya,29-01-2024,00:00,04-02-2024,23:59,0.19
Artvin,29-01-2024,00:00,04-02-2024,23:59,0.17
Aydın,29-01-2024,00:00,04-02-2024,23:59,0.23
Balıkesir,29-01-2024,00:00,04-02-2024,23:59,0.15
Bilecik,29-01-2024,00:00,04-02-2024,23:59,0.14
Bingöl,29-01-2024,00:00,04-02-2024,23:59,0.12
Bitlis,29-01-2024,00:00,04-02-2024,23:59,0.17
Bolu,29-01-2024,00:00,04-02-2024,23:59,0.16
Burdur,29-01-2024,00:00,04-02-2024,23:59,0.1
Bursa,29-01-2024,00:00,04-02-2024,23:59,0.33
Çanakkale,29-01-2024,00:00,04-02-2024,23:59,0.14
Çankırı,29-01-2024,00:00,04-02-2024,23:59,0.1
Çorum,29-01-2024,00:00,04-02-2024,23:59,0.11
Denizli,29-01-2024,00:00,04-02-2024,23:59,0.22
Diyarbakır,29-01-2024,00:00,04-02-2024,23:59,0.16
